,x
656,-15.081039575811774
657,-15.77828819209449
658,-15.126317989935757
659,-16.182301444520686
660,-15.955913321671792
661,-15.509526220294962
662,-15.363722466325209
663,-14.66234732440895
664,-15.622522659453319
665,-15.398201799935508
666,-15.200996391376828
667,-15.801178588696914
668,-15.844826221168105
669,-15.223372506691414
670,-15.968776138258967
671,-13.88976929231471
672,-13.522497371455568
673,-14.210429105071617
674,-14.808358025576304
675,-16.469270493588553
676,-14.157348475183852
677,-14.054614838514185
678,-14.950392159616799
679,-14.465456684609173
680,-14.632757299474566
681,-14.630227765211348
682,-14.42646749537058
683,-15.327564206582178
684,-14.064536404975629
685,-14.1806072796038
686,-13.849127328117484
687,-13.999452613911261
688,-13.409655365425573
689,-14.229911337157356
690,-13.865355685367328
691,-12.375617361381078
692,-12.349521073285839
693,-12.47901271489114
694,-11.8903603067944
695,-14.029349792116735
696,-12.588026082701163
697,-11.44791259096138
698,-12.13254267712161
699,-12.340075104510687
700,-11.05654527704162
701,-11.784189021798024
702,-11.067605365129609
703,-10.974757862382452
704,-9.882850847762631
705,-10.3907490550069
706,-9.75590614367799
707,-10.949685339982302
708,-9.737243451637147
709,-8.860938823542282
710,-9.47786127580805
711,-10.202501838057643
712,-8.97804509168539
713,-9.549542332107212
714,-7.986216937458844
715,-8.750613981882566
716,-7.761144749609824
717,-7.300187631032147
718,-5.983375078608849
719,-6.05359664768824
720,-5.943071862762005
721,-5.65074533423817
722,-7.393409777437245
723,-7.21449899128614
724,-4.929505187896113
725,-4.112826268378428
726,-3.7092849078897387
727,-3.9499035487580803
728,-3.015537179848669
729,-3.782326835466292
730,-2.3202102976124483
731,-2.0849217625863266
732,-2.880894020411049
733,-2.6206036719802026
734,-2.723712559247669
735,-1.9503585038573927
736,-2.323304308678665
737,-1.0972503033931258
738,-0.31063579850491185
739,-1.1082335694327707
740,-0.7892457762706162
741,-0.84753301664012
742,-0.36966250047954
743,-0.0860299186816898
744,0.2885154426046994
745,0.5212195333387076
746,1.0925626051220596
747,1.2170908145883015
748,0.9347174668308712
749,2.240086352989726
750,1.9593158885006874
751,1.7111103644674164
752,2.5225599137598302
753,2.241763872831396
754,2.9024560322973376
755,2.2479139464540427
756,4.2751388451613055
757,4.10062005492551
758,3.709821896993201
759,6.077649412112136
760,3.9490022074638667
761,6.435019432578852
762,6.121293727037121
763,4.8234708892558675
764,6.16467977244487
765,6.367737803020173
766,8.027754324988676
767,7.168037013946232
768,6.541326293789376
769,7.232339574128984
770,7.5303917759970505
771,8.687925640858392
772,7.562988268470791
773,8.938352600752031
774,8.47705650823387
775,9.499163001729634
776,9.62181565775413
777,9.43891545524972
778,10.452611878134359
779,11.125916967814524
780,11.092020245879265
781,11.586294062494188
782,11.52805263432421
783,11.429002524093988
784,12.07779270993051
785,11.669869355594802
786,11.785883087817023
787,11.717813849758532
788,13.50326943615623
789,13.685708818712412
790,12.31223693160305
791,12.677619373619297
792,14.097909614647918
793,13.966061014898138
794,14.014456478277214
795,14.31097882583802
796,12.82260572391751
797,14.442613371053618
798,14.111238382683913
799,16.10544793766429
800,15.60118687463742
801,15.295083439630798
802,15.980588172029247
803,16.912966581424072
804,15.662897977298087
805,15.695944631260343
806,16.968439768948382
807,16.50050135621097
808,15.7800064384047
809,18.17643395297763
810,16.987012452186974
811,17.31204115247694
812,16.766627912295963
813,18.982698461560307
814,18.105174945404325
815,18.428860046258468
816,17.5748998351981
817,17.50694419631271
818,19.2854135807939
819,18.708331964834393
